ID,tube,avg_diameter,Female,culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
H_eg_2_3,H_eg_2,88.89,2,HE232_PL,HE232_PL_3,Stack1,E,23,62,289.0976558
H_eg_2_3,H_eg_2,94.295,2,HE232_PL,HE232_PL_3,Stack2,E,23,55,309.2250524
H_eg_2_3,H_eg_2,81.07266666666666,2,HE232_PL,HE232_PL_3,Stack4,E,23,62,354.853283
H_eg_2_3,H_eg_2,84.249,2,HE232_PL,HE232_PL_3,Stack7,E,23,52,324.9860097
H_eg_2_3,H_eg_2,89.82066666666667,2,HE232_PL,HE232_PL_3,Stack9,E,23,62,327.2469609
H_eg_2_3,H_eg_2,93.84766666666667,2,HE232_PL,HE232_PL_3,Stack10,E,23,53,284.0702205
H_eg_3_1,H_eg_3,81.12833333333333,3,HE332_PL,HE332_PL_1,Stack1,E,33,48,283.7747355
H_eg_3_1,H_eg_3,90.09066666666666,3,HE332_PL,HE332_PL_1,Stack2,E,33,63,298.4856362
H_eg_3_1,H_eg_3,82.69466666666666,3,HE332_PL,HE332_PL_1,Stack3,E,33,43,273.7050696
H_eg_3_1,H_eg_3,85.36833333333334,3,HE332_PL,HE332_PL_1,Stack4,E,33,42,249.0652496
H_eg_3_1,H_eg_3,86.16133333333333,3,HE332_PL,HE332_PL_1,Stack5,E,33,43,295.854282
H_eg_3_1,H_eg_3,85.558,3,HE332_PL,HE332_PL_1,Stack6,E,33,44,275.7471921
H_eg_3_1,H_eg_3,91.158,3,HE332_PL,HE332_PL_1,Stack7,E,33,55,301.4113624
H_eg_3_1,H_eg_3,89.65333333333334,3,HE332_PL,HE332_PL_1,Stack8,E,33,43,301.3167481
H_eg_3_2,H_eg_3,86.72166666666666,3,HE332_PL,HE332_PL_1,Stack9,E,33,57,316.1865318
H_eg_3_2,H_eg_3,87.56666666666666,3,HE332_PL,HE332_PL_1,Stack10,E,33,35,298.2458882
H_eg_3_2,H_eg_3,89.85666666666667,3,HE332_PL,HE332_PL_2,Stack1,E,33,48,296.9457867
H_eg_3_2,H_eg_3,91.44533333333332,3,HE332_PL,HE332_PL_2,Stack2,E,33,50,288.2036014
H_eg_3_2,H_eg_3,88.541,3,HE332_PL,HE332_PL_2,Stack3,E,33,45,279.7229239
H_eg_3_2,H_eg_3,86.94033333333333,3,HE332_PL,HE332_PL_2,Stack4,E,33,42,270.4304911
H_eg_3_2,H_eg_3,87.058,3,HE332_PL,HE332_PL_2,Stack5,E,33,52,253.6885058
H_eg_3_2,H_eg_3,90.56533333333333,3,HE332_PL,HE332_PL_2,Stack6,E,33,51,324.0167429
H_eg_3_2,H_eg_3,93.43299999999999,3,HE332_PL,HE332_PL_2,Stack7,E,33,52,308.3047852
H_eg_3_2,H_eg_3,94.417,3,HE332_PL,HE332_PL_2,Stack8,E,33,47,296.212532
H_eg_3_3,H_eg_3,85.87033333333333,3,HE332_PL,HE332_PL_2,Stack9,E,33,42,284.3932597
H_eg_3_3,H_eg_3,94.62466666666667,3,HE332_PL,HE332_PL_2,Stack10,E,33,46,318.0357299
