culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
HA122_PL,HA122_PL_1,Stack10,A,12,66,233.5726325
HA122_PL,HA122_PL_2,Stack1,A,12,51,204.996675
HA122_PL,HA122_PL_2,Stack3,A,12,59,222.0422511
HA122_PL,HA122_PL_2,Stack4,A,12,67,224.0835901
HA122_PL,HA122_PL_2,Stack5,A,12,55,237.5232308
HA122_PL,HA122_PL_2,Stack6,A,12,45,254.1378344
HA122_PL,HA122_PL_2,Stack7,A,12,45,245.8633266
HA122_PL,HA122_PL_2,Stack8,A,12,48,258.2342823
HA122_PL,HA122_PL_2,Stack9,A,12,61,241.6266953
HA122_PL,HA122_PL_2,Stack10,A,12,63,244.2109604
HA122_PL,HA122_PL_3,Stack1,A,12,60,244.3314956
HA122_PL,HA122_PL_3,Stack2,A,12,59,263.9472483
HA122_PL,HA122_PL_3,Stack3,A,12,35,256.3280143
HA122_PL,HA122_PL_3,Stack4,A,12,60,232.9332592
HA122_PL,HA122_PL_3,Stack5,A,12,35,228.0664296
HA122_PL,HA122_PL_3,Stack6,A,12,59,244.5119871
HA122_PL,HA122_PL_3,Stack7,A,12,40,243.1364638
HA122_PL,HA122_PL_3,Stack8,A,12,51,252.3865788
HA122_PL,HA122_PL_3,Stack9,A,12,38,231.2905979
HA122_PL,HA122_PL_3,Stack10,A,12,67,221.1559303
HA231_PL,HA231_PL_1,Stack1,A,23,53,256.3664268
HA231_PL,HA231_PL_1,Stack2,A,23,53,261.4225328
HA231_PL,HA231_PL_1,Stack3,A,23,55,256.8626616
HA231_PL,HA231_PL_1,Stack4,A,23,54,257.8600514
HA231_PL,HA231_PL_1,Stack5,A,23,61,250.6143439
HA231_PL,HA231_PL_1,Stack6,A,23,60,271.5889475
HA231_PL,HA231_PL_1,Stack7,A,23,42,303.9978181
HA231_PL,HA231_PL_1,Stack8,A,23,56,272.3123958
HA231_PL,HA231_PL_1,Stack9,A,23,36,248.849294
HA231_PL,HA231_PL_1,Stack10,A,23,40,286.8660389
HA231_PL,HA231_PL_2,Stack1,A,23,52,278.844767
HA231_PL,HA231_PL_2,Stack2,A,23,57,236.5764059
HA231_PL,HA231_PL_2,Stack3,A,23,36,241.8208272
HA231_PL,HA231_PL_2,Stack4,A,23,53,253.5310611
HA231_PL,HA231_PL_2,Stack5,A,23,55,267.1670835
HA231_PL,HA231_PL_2,Stack6,A,23,51,252.2856944
HA231_PL,HA231_PL_2,Stack7,A,23,54,260.9081205
HA231_PL,HA231_PL_2,Stack8,A,23,59,262.5989637
HA231_PL,HA231_PL_2,Stack9,A,23,41,280.4719314
HA231_PL,HA231_PL_2,Stack10,A,23,48,269.0848985
HA231_PL,HA231_PL_3,Stack1,A,23,44,250.2768715
HA231_PL,HA231_PL_3,Stack2,A,23,58,279.7578718
HA231_PL,HA231_PL_3,Stack3,A,23,45,237.3188312
HA231_PL,HA231_PL_3,Stack4,A,23,32,252.9647885
HA231_PL,HA231_PL_3,Stack5,A,23,44,278.9586887
HA231_PL,HA231_PL_3,Stack6,A,23,36,272.7480575
HA231_PL,HA231_PL_3,Stack7,A,23,46,267.3844227
HA231_PL,HA231_PL_3,Stack8,A,23,42,236.6129451
HA231_PL,HA231_PL_3,Stack9,A,23,50,269.1081053
HA231_PL,HA231_PL_3,Stack10,A,23,44,265.1469493
HA232_PL,HA232_PL_1,Stack1,A,23,44,258.1625732
HA232_PL,HA232_PL_1,Stack2,A,23,49,260.0305845
HA232_PL,HA232_PL_1,Stack3,A,23,41,254.0886859
HA232_PL,HA232_PL_1,Stack4,A,23,63,273.3242194
HA232_PL,HA232_PL_1,Stack5,A,23,42,237.6999605
HA232_PL,HA232_PL_1,Stack6,A,23,49,239.4482319
HA232_PL,HA232_PL_1,Stack7,A,23,48,255.5917963
HA232_PL,HA232_PL_1,Stack8,A,23,40,242.0633213
HA232_PL,HA232_PL_1,Stack9,A,23,48,255.6767835
HA232_PL,HA232_PL_1,Stack10,A,23,57,243.4055432
HA232_PL,HA232_PL_2,Stack1,A,23,48,239.6854761
HA232_PL,HA232_PL_2,Stack2,A,23,47,249.6767259
HA232_PL,HA232_PL_2,Stack3,A,23,37,256.7230062
HA232_PL,HA232_PL_2,Stack4,A,23,45,237.465512
HA232_PL,HA232_PL_2,Stack5,A,23,36,246.7696188
HA232_PL,HA232_PL_2,Stack6,A,23,43,253.5238585
HA232_PL,HA232_PL_2,Stack7,A,23,41,231.2832491
